captured_date,period_suffix,returned_date,timeframe,genre,chart_type,rank_this_period,rank_last_period,song_id,song_name,album_id,album_name,artist_name,artist_url,song_url,album_url,cover_image_url,release_date_unix,is_album_entry
2026-08-09,2026-08-08,2026-08-08,daily,japanese,newrelease,1,1,_X5o5iVu0EWg8WNaJB,KISS N TELL,,KISS N TELL,aespa,https://www.kkbox.com/tw/en/artist/9-icI58ApgvpPEhWSV,https://www.kkbox.com/tw/en/song/_X5o5iVu0EWg8WNaJB,https://www.kkbox.com/tw/en/album/8sNDNr-DI8uipPmgFI,"https://i.kfs.io/album/global/295819544,0v2/fit/500x500.jpg",1784822400,false
2026-08-09,2026-08-08,2026-08-08,daily,japanese,newrelease,2,2,1YJ0RV_D0OlxrDP0Fw,夜鷹 - Yodaka,,夜鷹 - Yodaka,米津玄師,https://www.kkbox.com/tw/en/artist/8oRs6ttmEEYzg2nyTU,https://www.kkbox.com/tw/en/song/1YJ0RV_D0OlxrDP0Fw,https://www.kkbox.com/tw/en/album/CoB2Xo-O1JHrw9HCW6,"https://i.kfs.io/album/global/295286782,0v3/fit/500x500.jpg",1783872000,false
2026-08-09,2026-08-08,2026-08-08,daily,japanese,newrelease,3,3,SmKzebNp2bwp6K_91V,Boku no Hoshi,,Boku no Hoshi,厲旭 (RYEOWOOK),https://www.kkbox.com/tw/en/artist/4k0LRsxqN3_1LJVQLW,https://www.kkbox.com/tw/en/song/SmKzebNp2bwp6K_91V,https://www.kkbox.com/tw/en/album/Kk0GjqQALfA_PILhew,"https://i.kfs.io/album/global/296225153,0v1/fit/500x500.jpg",1785859200,false
2026-08-09,2026-08-08,2026-08-08,daily,japanese,newrelease,4,4,__XFv4zJVATFciHALb,SODA SODA,,SODA SODA,TWS,https://www.kkbox.com/tw/en/artist/LX1IZbxhSEf7TZSs2v,https://www.kkbox.com/tw/en/song/__XFv4zJVATFciHALb,https://www.kkbox.com/tw/en/album/HZUMSuFSAsSpLzLscz,"https://i.kfs.io/album/global/296426180,0v2/fit/500x500.jpg",1785686400,false
2026-08-09,2026-08-08,2026-08-08,daily,japanese,newrelease,5,9,P-KQAMQ2hnTeOy75eK,Namo Naki Melody,,Boku no Hoshi,厲旭 (RYEOWOOK),https://www.kkbox.com/tw/en/artist/4k0LRsxqN3_1LJVQLW,https://www.kkbox.com/tw/en/song/P-KQAMQ2hnTeOy75eK,https://www.kkbox.com/tw/en/album/Kk0GjqQALfA_PILhew,"https://i.kfs.io/album/global/296225153,0v1/fit/500x500.jpg",1785859200,false
2026-08-09,2026-08-08,2026-08-08,daily,japanese,newrelease,6,10,OkpNDIDHwySdKSYO9c,Chasing You,,Boku no Hoshi,厲旭 (RYEOWOOK),https://www.kkbox.com/tw/en/artist/4k0LRsxqN3_1LJVQLW,https://www.kkbox.com/tw/en/song/OkpNDIDHwySdKSYO9c,https://www.kkbox.com/tw/en/album/Kk0GjqQALfA_PILhew,"https://i.kfs.io/album/global/296225153,0v1/fit/500x500.jpg",1785859200,false
2026-08-09,2026-08-08,2026-08-08,daily,japanese,newrelease,7,8,WtqSSsUQoKRKVBSsqD,In Halo,,KISS N TELL,aespa,https://www.kkbox.com/tw/en/artist/9-icI58ApgvpPEhWSV,https://www.kkbox.com/tw/en/song/WtqSSsUQoKRKVBSsqD,https://www.kkbox.com/tw/en/album/8sNDNr-DI8uipPmgFI,"https://i.kfs.io/album/global/295819544,0v2/fit/500x500.jpg",1784822400,false
2026-08-09,2026-08-08,2026-08-08,daily,japanese,newrelease,8,6,Gn0mzcyGJNIVJ-AtYX,Brand New,,Brand New,Mrs. GREEN APPLE,https://www.kkbox.com/tw/en/artist/4naOIR-K2KLL59lD-Q,https://www.kkbox.com/tw/en/song/Gn0mzcyGJNIVJ-AtYX,https://www.kkbox.com/tw/en/album/1-tP8yfHCvM0eFkfAB,"https://i.kfs.io/album/global/295577824,0v2/fit/500x500.jpg",1783872000,false
2026-08-09,2026-08-08,2026-08-08,daily,japanese,newrelease,9,7,LYqdzAJ0B5NioWzPSf,GO GHOST,,GO GHOST,King Gnu,https://www.kkbox.com/tw/en/artist/Ks0qg_53FpT3XfUQyL,https://www.kkbox.com/tw/en/song/LYqdzAJ0B5NioWzPSf,https://www.kkbox.com/tw/en/album/Gk6QM2COx3YZIgUFmH,"https://i.kfs.io/album/global/296320461,0v3/fit/500x500.jpg",1785254400,false
2026-08-09,2026-08-08,2026-08-08,daily,japanese,newrelease,10,5,CrdJy5FRa7_3Pimwgn,I-BULL - iburu,,I-BULL - iburu - BLEACH: Thousand-Year Blood War - The Calamity,jo0ji,https://www.kkbox.com/tw/en/artist/LafPiWH_MgHOtoumQq,https://www.kkbox.com/tw/en/song/CrdJy5FRa7_3Pimwgn,https://www.kkbox.com/tw/en/album/Okh5D5gaH9M2vrKgEE,"https://i.kfs.io/album/global/295832468,0v3/fit/500x500.jpg",1784822400,false
