captured_date,period_suffix,returned_date,timeframe,genre,chart_type,rank_this_period,rank_last_period,song_id,song_name,album_id,album_name,artist_name,artist_url,song_url,album_url,cover_image_url,release_date_unix,is_album_entry
2026-08-31,2026-08-24,2026-08-27,weekly,mandarin,album,1,1,,,HXmBXgLcRr3eORMD2E,太陽之子,周杰倫 (Jay Chou),https://www.kkbox.com/tw/en/artist/GtjT_E-Fw6HSCE7jgQ,,https://www.kkbox.com/tw/en/album/HXmBXgLcRr3eORMD2E,"https://i.kfs.io/album/global/291534345,0v4/fit/500x500.jpg",1774368000,true
2026-08-31,2026-08-24,2026-08-27,weekly,mandarin,album,2,2,,,9Y2ZAXwXpTG8JCn0J5,甲乙丙丁Strangers,李佳薇 (Jess Lee),https://www.kkbox.com/tw/en/artist/Sr05tTDYLFcrm7ZrG5,,https://www.kkbox.com/tw/en/album/9Y2ZAXwXpTG8JCn0J5,"https://i.kfs.io/album/global/295320632,0v2/fit/500x500.jpg",1783440000,true
2026-08-31,2026-08-24,2026-08-27,weekly,mandarin,album,3,4,,,0oYr7A00u_GpDyirL3,11月的蕭邦,周杰倫 (Jay Chou),https://www.kkbox.com/tw/en/artist/GtjT_E-Fw6HSCE7jgQ,,https://www.kkbox.com/tw/en/album/0oYr7A00u_GpDyirL3,"https://i.kfs.io/album/tw/56062,1v3/fit/500x500.jpg",1130774400,true
2026-08-31,2026-08-24,2026-08-27,weekly,mandarin,album,4,3,,,9ayRooyTUhQp8_WVmy,沒有人像我一樣,宇宙人 (Cosmos People),https://www.kkbox.com/tw/en/artist/Lai8PoHfMgHOt_XWaz,,https://www.kkbox.com/tw/en/album/9ayRooyTUhQp8_WVmy,"https://i.kfs.io/album/global/294848912,0v1/fit/500x500.jpg",1781712000,true
2026-08-31,2026-08-24,2026-08-27,weekly,mandarin,album,5,5,,,XaoCreLkPrbA7zKtNb,HeartBreakFast 傷心早餐店,盧廣仲 (Crowd Lu),https://www.kkbox.com/tw/en/artist/8qCONzjl89Yak9KFxZ,,https://www.kkbox.com/tw/en/album/XaoCreLkPrbA7zKtNb,"https://i.kfs.io/album/global/284812128,0v5/fit/500x500.jpg",1758038400,true
2026-08-31,2026-08-24,2026-08-27,weekly,mandarin,album,6,6,,,LYrbXkmyCNxEvfWmsb,BAD IDEA,派偉俊 (Patrick Brasca),https://www.kkbox.com/tw/en/artist/8tdWqMpHItW_hZrG3I,,https://www.kkbox.com/tw/en/album/LYrbXkmyCNxEvfWmsb,"https://i.kfs.io/album/global/296500875,0v2/fit/500x500.jpg",1785427200,true
2026-08-31,2026-08-24,2026-08-27,weekly,mandarin,album,7,7,,,HZrRUFBCAsSpLkhfRr,七里香,周杰倫 (Jay Chou),https://www.kkbox.com/tw/en/artist/GtjT_E-Fw6HSCE7jgQ,,https://www.kkbox.com/tw/en/album/HZrRUFBCAsSpLkhfRr,"https://i.kfs.io/album/tw/52025,1v3/fit/500x500.jpg",1091462400,true
2026-08-31,2026-08-24,2026-08-27,weekly,mandarin,album,8,8,,,5aqrTZwYczZYRthb7q,魔杰座,周杰倫 (Jay Chou),https://www.kkbox.com/tw/en/artist/GtjT_E-Fw6HSCE7jgQ,,https://www.kkbox.com/tw/en/album/5aqrTZwYczZYRthb7q,"https://i.kfs.io/album/tw/110102,1v3/fit/500x500.jpg",1224000000,true
2026-08-31,2026-08-24,2026-08-27,weekly,mandarin,album,9,9,,,TaJf8uNz9CYeF4qjlh,我很忙,周杰倫 (Jay Chou),https://www.kkbox.com/tw/en/artist/GtjT_E-Fw6HSCE7jgQ,,https://www.kkbox.com/tw/en/album/TaJf8uNz9CYeF4qjlh,"https://i.kfs.io/album/tw/99210,3v3/fit/500x500.jpg",1193846400,true
2026-08-31,2026-08-24,2026-08-27,weekly,mandarin,album,10,10,,,T_GZb7mb5SlJ9BVnzE,范特西,周杰倫 (Jay Chou),https://www.kkbox.com/tw/en/artist/GtjT_E-Fw6HSCE7jgQ,,https://www.kkbox.com/tw/en/album/T_GZb7mb5SlJ9BVnzE,"https://i.kfs.io/album/tw/18854,2v1/fit/500x500.jpg",1000915200,true
